Age,A_Flux
0.059316456,108.3948784
0.108746835,113.8621639
0.207607595,118.6517286
0.257037975,121.9088348
0.355898734,109.4721511
0.405329114,116.3859155
0.504189873,111.2928937
0.652481013,89.58053777
0.701911392,96.40326504
0.8017,121.9806763
0.85345,126.8115942
0.97765,133.0434783
1.02897561,126.4557143
1.132041056,119.3016997
1.183800587,107.922153
1.287319648,106.6953258
1.334938416,91.7125779
1.44259824,103.2901558
1.494357771,106.5021246
1.597876833,100.0105666
1.649636364,125.0784136
1.753155425,123.4120538
1.806194805,91.27497006
1.914636364,99.59281437
2.105979253,63.8195283
2.171954357,74.8009434
2.303904564,68.85930818
2.369879668,52.35308176
2.501829876,70.39018868
2.567804979,61.27311321
2.670558824,28.8062069
2.720313725,43.72433498
2.819823529,48.70876847
2.869578431,44.99054187
3.068598039,40.51862069
3.217862745,36.25270936
3.367127451,38.93586207
3.516392157,27.19330049
3.660179834,19.63233484
3.797708051,17.99630693
3.935236268,15.0078293
4.072764485,15.89128437
4.210292701,13.08822323
4.347820918,8.223766927
4.485349135,8.670947887
4.622877351,6.107837505
4.760405568,6.658633566
4.852091046,8.932712351
4.989619263,6.871317193
5.127147479,8.1146984
5.264675696,10.56874025
5.402203913,9.532589249
5.539732129,39.26466968
5.677260346,26.79813705
5.814788563,18.50347558
5.94864936,42.37312269
6.080809859,45.16767123
6.227323944,30.34520548
6.300486486,32.76913043
6.39372973,71.94086957
6.466461538,60.2989899
6.60925,52.39919192
6.751488372,25.52415094
6.890151163,34.22150943
7.028813953,28.98037736
7.167476744,20.75899371
7.306139535,18.36289308
7.444802326,22.41408805
7.567545455,49.15862069
7.666409091,93.30275862
7.765272727,127.4482759
7.864136364,107.8303448
7.963,91.66413793
8.028909091,84.29034483
8.27375,12.21176471
8.865813278,60.732
9.102846473,70.72427133
9.339879668,63.36137856
9.576912863,72.40441575
9.813946058,76.47030197
10.05097925,84.4185558
10.28801245,58.29563239
10.52504564,42.60162801
10.76207884,32.03665208
10.99911203,8.685492341
