Complete_Sampling,Family,Subfamily,Tribe,Subgenus,Max_Last_Occurrence,Mean_Last_Occurrence,Min_Last_Occurrence,Source,Locality,Justification,Alt_Max,Alt_Estimated,Alt_Min,Alt_Source
Aepyprymnus_rufescens,Potoroidae,Potoroinae,NA,NA,0,0,0,-,-,-,0,0,0,-
Bettongia_lesueur,Potoroidae,Potoroinae,NA,NA,0,0,0,-,-,-,0,0,0,-
Bettongia_penicillata,Potoroidae,Potoroinae,NA,NA,0,0,0,-,-,-,0,0,0,-
Dendrolagus_bennettianus,Macropodidae,Macropodinae,Dendrolagini,NA,0,0,0,-,-,-,0,0,0,-
Dendrolagus_cf_scottae,Macropodidae,Macropodinae,Dendrolagini,NA,0,0,0,-,-,-,0,0,0,-
Dendrolagus_dorianus,Macropodidae,Macropodinae,Dendrolagini,NA,0,0,0,-,-,-,0,0,0,-
Dendrolagus_goodfellowi,Macropodidae,Macropodinae,Dendrolagini,NA,0,0,0,-,-,-,0,0,0,-
Dendrolagus_lumholtzi,Macropodidae,Macropodinae,Dendrolagini,NA,0,0,0,-,-,-,0,0,0,-
Dendrolagus_matschiei,Macropodidae,Macropodinae,Dendrolagini,NA,0,0,0,-,-,-,0,0,0,-
Dendrolagus_dorianus_cf_stellarum,Macropodidae,Macropodinae,Dendrolagini,NA,0,0,0,-,-,-,0,0,0,-
Dendrolagus_dorianus_notatus     ,Macropodidae,Macropodinae,Dendrolagini,NA,0,0,0,-,-,-,0,0,0,-
Dendrolagus_dorianus_stellarum   ,Macropodidae,Macropodinae,Dendrolagini,NA,0,0,0,-,-,-,0,0,0,-
Dendrolagus_goodfellowi_buergersi   ,Macropodidae,Macropodinae,Dendrolagini,NA,0,0,0,-,-,-,0,0,0,-
Dendrolagus_goodfellowi_pulcherrimus,Macropodidae,Macropodinae,Dendrolagini,NA,0,0,0,-,-,-,0,0,0,-
Dendrolagus_inustus,Macropodidae,Macropodinae,Dendrolagini,NA,0,0,0,-,-,-,0,0,0,-
Dendrolagus_mbaiso ,Macropodidae,Macropodinae,Dendrolagini,NA,0,0,0,-,-,-,0,0,0,-
Dendrolagus_scottae,Macropodidae,Macropodinae,Dendrolagini,NA,0,0,0,-,-,-,0,0,0,-
Dendrolagus_spadix ,Macropodidae,Macropodinae,Dendrolagini,NA,0,0,0,-,-,-,0,0,0,-
